Year(s) of Live Birth,Patient County,Demographic Characteristics,Sort Order,Demographic Strata,"Live Births
(N)","Live Births
(%)",Any Sepsis Events Peripartum (N),"Any Sepsis Events Peripartum (per 100,000)",Severe Sepsis/Septic Shock Peripartum (N),"Severe Sepsis/Septic Shock Peripartum(per 100,000)",Any Sepsis Events During Pregnancy (N),"Any Sepsis Events During Pregnancy (per 100,000)",Severe Sepsis/ Septic Shock During Pregnancy (N),"Severe Sepsis/ Septic Shock During Pregnancy
(per 100,000)",Any Sepsis Events During Delivery (N),"Any Sepsis Events During Delivery (per 100,000)",Severe Sepsis/ Septic Shock During Delivery (N),"Severe Sepsis/ Septic Shock During Delivery
(per 100,000)",Any Sepsis Events During Post-Partum (N),"Any Sepsis Events During Post-Partum (per 100,000)",Severe Sepsis/ Septic Shock During Post-Partum (N),"Severe Sepsis/ Septic Shock During Post-Partum
(per 100,000)"
2016-2018,Onondaga,Age Group,2,20-35,"11,767",79.61,38,322.94,5,42.49,18,152.97,2,17,9,76.49,2,17,12,101.98,1,8.5
2016-2018,Onondaga,Age Group,3,>35,"1,928",13.04,6,311.2,2,103.73,3,155.6,0,0,1,51.87,1,51.87,2,103.73,1,51.87
2016-2018,Onondaga,Education,1,Less than high school,"2,081",14.08,21,1009.13,3,144.16,10,480.54,2,96.11,4,192.22,0,0,7,336.38,1,48.05
2016-2018,Onondaga,Education,2,High school graduate or GED,"2,888",19.54,9,311.63,1,34.63,5,173.13,0,0,1,34.63,0,0,3,103.88,1,34.63
2016-2018,Onondaga,Education,3,Some College,"2,446",16.55,6,245.3,1,40.88,2,81.77,0,0,2,81.77,1,40.88,2,81.77,0,0
2016-2018,Onondaga,Education,4,AA Degree,"1,414",9.57,5,353.61,2,141.44,2,141.44,1,70.72,2,141.44,1,70.72,1,70.72,0,0
2016-2018,Onondaga,Education,5,BA degree or higher,"5,172",34.99,8,154.68,1,19.33,5,96.67,1,19.33,1,19.33,0,0,2,38.67,0,0
2016-2018,Onondaga,Education,6,Unknown,49,0.33,1,2040.82,1,2040.82,0,0,0,0,1,2040.82,1,2040.82,1,2040.82,0,0
2016-2018,Onondaga,Race/Ethnicity,1,"White, Non-Hispanic","9,695",65.6,25,257.86,4,41.26,16,165.03,3,30.94,5,51.57,1,10.31,4,41.26,0,0
2016-2018,Onondaga,Race/Ethnicity,2,"Black, Non-Hispanic","2,845",19.25,9,316.34,3,105.45,5,175.75,1,35.15,1,35.15,1,35.15,3,105.45,1,35.15
2016-2018,Onondaga,Race/Ethnicity,3,Hispanic,907,6.14,5,551.27,0,0,2,220.51,0,0,0,0,0,0,3,330.76,0,0
2016-2018,Onondaga,Race/Ethnicity,4,"Native American/Alaska Native, Non-Hispanic",142,0.96,1,704.23,0,0,1,704.23,0,0,0,0,0,0,0,0,0,0
2016-2018,Onondaga,Race/Ethnicity,5,"Asian/Pacific Islander, Non-Hispanic",850,5.75,8,941.18,1,117.65,0,0,0,0,4,470.59,0,0,4,470.59,1,117.65
2016-2018,Onondaga,Race/Ethnicity,6,"Other, Non-Hispanic",226,1.53,1,442.48,1,442.48,0,0,0,0,1,442.48,1,442.48,1,442.48,0,0
2016-2018,Onondaga,Race/Ethnicity,7,"Multi-Racial, Non-Hispanic",115,0.78,1,869.57,0,0,0,0,0,0,0,0,0,0,1,869.57,0,0
2016-2018,Onondaga,Total,1,Total,"14,780",100,50,338.29,9,60.89,24,162.38,4,27.06,11,74.42,3,20.3,16,108.25,2,13.53
2016-2018,Ontario,Age Group,1,<20,140,5.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Ontario,Age Group,2,20-35,"2,198",82.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Ontario,Age Group,3,>35,338,12.63,1,295.86,1,295.86,0,0,0,0,1,295.86,1,295.86,0,0,0,0
2016-2018,Ontario,Education,1,Less than high school,207,7.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Ontario,Education,2,High school graduate or GED,555,20.74,1,180.18,1,180.18,0,0,0,0,1,180.18,1,180.18,0,0,0,0
2016-2018,Ontario,Education,3,Some College,471,17.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Ontario,Education,4,AA Degree,351,13.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Ontario,Education,5,BA degree or higher,"1,038",38.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Ontario,Education,6,Unknown,5,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Ontario,Race/Ethnicity,1,"White, Non-Hispanic","2,358",88.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Ontario,Race/Ethnicity,2,"Black, Non-Hispanic",87,3.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Ontario,Race/Ethnicity,3,Hispanic,156,5.83,1,641.03,1,641.03,0,0,0,0,1,641.03,1,641.03,0,0,0,0
2016-2018,Ontario,Race/Ethnicity,4,"Native American/Alaska Native, Non-Hispanic",1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Ontario,Race/Ethnicity,5,"Asian/Pacific Islander, Non-Hispanic",47,1.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Ontario,Race/Ethnicity,6,"Other, Non-Hispanic",6,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Ontario,Race/Ethnicity,7,"Multi-Racial, Non-Hispanic",21,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Ontario,Total,1,Total,"2,676",100,1,37.37,1,37.37,0,0,0,0,1,37.37,1,37.37,0,0,0,0
2016-2018,Orange,Age Group,1,<20,970,7.52,8,824.74,0,0,2,206.19,0,0,2,206.19,0,0,4,412.37,0,0
2016-2018,Orange,Age Group,2,20-35,"9,699",75.15,27,278.38,3,30.93,8,82.48,0,0,6,61.86,1,10.31,14,144.34,2,20.62
2016-2018,Orange,Age Group,3,>35,"2,238",17.34,3,134.05,1,44.68,0,0,0,0,1,44.68,1,44.68,2,89.37,0,0
2016-2018,Orange,Education,1,Less than high school,"2,002",15.51,10,499.5,0,0,3,149.85,0,0,3,149.85,0,0,5,249.75,0,0
2016-2018,Orange,Education,2,High school graduate or GED,"4,602",35.66,15,325.95,1,21.73,5,108.65,0,0,4,86.92,1,21.73,6,130.38,0,0
2016-2018,Orange,Education,3,Some College,"1,972",15.28,5,253.55,2,101.42,1,50.71,0,0,0,0,0,0,4,202.84,2,101.42
2016-2018,Orange,Education,4,AA Degree,866,6.71,3,346.42,1,115.47,0,0,0,0,2,230.95,1,115.47,1,115.47,0,0
2016-2018,Orange,Education,5,BA degree or higher,"2,761",21.39,3,108.66,0,0,0,0,0,0,0,0,0,0,3,108.66,0,0
2016-2018,Orange,Education,6,Unknown,82,0.64,2,2439.02,0,0,1,1219.51,0,0,0,0,0,0,1,1219.51,0,0
2016-2018,Orange,Race/Ethnicity,1,"White, Non-Hispanic","8,432",65.33,15,177.89,1,11.86,6,71.16,0,0,5,59.3,1,11.86,5,59.3,0,0
2016-2018,Orange,Race/Ethnicity,2,"Black, Non-Hispanic","1,073",8.31,3,279.59,0,0,0,0,0,0,0,0,0,0,3,279.59,0,0
2016-2018,Orange,Race/Ethnicity,3,Hispanic,"2,750",21.31,17,618.18,1,36.36,3,109.09,0,0,3,109.09,0,0,11,400,1,36.36
2016-2018,Orange,Race/Ethnicity,4,"Native American/Alaska Native, Non-Hispanic",2,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Orange,Race/Ethnicity,5,"Asian/Pacific Islander, Non-Hispanic",253,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Orange,Race/Ethnicity,6,"Other, Non-Hispanic",116,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Orange,Race/Ethnicity,7,"Multi-Racial, Non-Hispanic",281,2.18,3,1067.62,2,711.74,1,355.87,0,0,1,355.87,1,355.87,1,355.87,1,355.87
2016-2018,Orange,Total,1,Total,"12,907",100,38,294.41,4,30.99,10,77.48,0,0,9,69.73,2,15.5,20,154.95,2,15.5
2016-2018,Orleans,Age Group,1,<20,94,8.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Orleans,Age Group,2,20-35,893,84.01,3,335.95,0,0,3,335.95,0,0,0,0,0,0,0,0,0,0
2016-2018,Orleans,Age Group,3,>35,76,7.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Orleans,Education,1,Less than high school,125,11.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Orleans,Education,2,High school graduate or GED,346,32.55,1,289.02,0,0,1,289.02,0,0,0,0,0,0,0,0,0,0
2016-2018,Orleans,Education,3,Some College,251,23.61,1,398.41,0,0,1,398.41,0,0,0,0,0,0,0,0,0,0
2016-2018,Orleans,Education,4,AA Degree,120,11.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Orleans,Education,5,BA degree or higher,203,19.1,1,492.61,0,0,1,492.61,0,0,0,0,0,0,0,0,0,0
2016-2018,Orleans,Education,6,Unknown,2,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Orleans,Race/Ethnicity,1,"White, Non-Hispanic",938,88.24,3,319.83,0,0,3,319.83,0,0,0,0,0,0,0,0,0,0
2016-2018,Orleans,Race/Ethnicity,2,"Black, Non-Hispanic",49,4.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Orleans,Race/Ethnicity,3,Hispanic,46,4.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Orleans,Race/Ethnicity,4,"Native American/Alaska Native, Non-Hispanic",4,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Orleans,Race/Ethnicity,5,"Asian/Pacific Islander, Non-Hispanic",2,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Orleans,Race/Ethnicity,6,"Other, Non-Hispanic",2,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Orleans,Race/Ethnicity,7,"Multi-Racial, Non-Hispanic",22,2.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Orleans,Total,1,Total,"1,063",100,3,282.22,0,0,3,282.22,0,0,0,0,0,0,0,0,0,0
2016-2018,Oswego,Age Group,1,<20,379,10.45,3,791.56,0,0,1,263.85,0,0,0,0,0,0,2,527.7,0,0
2016-2018,Oswego,Age Group,2,20-35,"2,920",80.53,10,342.47,3,102.74,3,102.74,1,34.25,5,171.23,2,68.49,3,102.74,0,0
2016-2018,Oswego,Age Group,3,>35,327,9.02,2,611.62,1,305.81,0,0,0,0,2,611.62,1,305.81,0,0,0,0
2016-2018,Oswego,Education,1,Less than high school,484,13.35,4,826.45,0,0,2,413.22,0,0,0,0,0,0,2,413.22,0,0
2016-2018,Oswego,Education,2,High school graduate or GED,"1,060",29.23,2,188.68,0,0,0,0,0,0,2,188.68,0,0,0,0,0,0
2016-2018,Oswego,Education,3,Some College,726,20.02,4,550.96,2,275.48,2,275.48,1,137.74,2,275.48,1,137.74,1,137.74,0,0
2016-2018,Oswego,Education,4,AA Degree,493,13.6,4,811.36,2,405.68,0,0,0,0,2,405.68,2,405.68,2,405.68,0,0
2016-2018,Oswego,Education,5,BA degree or higher,771,21.26,1,129.7,0,0,0,0,0,0,1,129.7,0,0,0,0,0,0
2016-2018,Oswego,Education,6,Unknown,5,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Oswego,Race/Ethnicity,1,"White, Non-Hispanic","3,455",95.28,12,347.32,3,86.83,4,115.77,1,28.94,6,173.66,2,57.89,2,57.89,0,0
2016-2018,Oswego,Race/Ethnicity,2,"Black, Non-Hispanic",32,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Oswego,Race/Ethnicity,3,Hispanic,75,2.07,2,2666.67,1,1333.33,0,0,0,0,1,1333.33,1,1333.33,2,2666.67,0,0
2016-2018,Oswego,Race/Ethnicity,4,"Native American/Alaska Native, Non-Hispanic",7,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Oswego,Race/Ethnicity,5,"Asian/Pacific Islander, Non-Hispanic",27,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Oswego,Race/Ethnicity,6,"Other, Non-Hispanic",13,0.36,1,7692.31,0,0,0,0,0,0,0,0,0,0,1,7692.31,0,0
2016-2018,Oswego,Race/Ethnicity,7,"Multi-Racial, Non-Hispanic",17,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Oswego,Total,1,Total,"3,626",100,15,413.68,4,110.31,4,110.31,1,27.58,7,193.05,3,82.74,5,137.89,0,0
2016-2018,Otsego,Age Group,1,<20,84,6.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Otsego,Age Group,2,20-35,"1,093",82.49,3,274.47,1,91.49,1,91.49,0,0,1,91.49,1,91.49,2,182.98,1,91.49
2016-2018,Otsego,Age Group,3,>35,148,11.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Otsego,Education,1,Less than high school,120,9.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Otsego,Education,2,High school graduate or GED,368,27.77,1,271.74,0,0,1,271.74,0,0,0,0,0,0,0,0,0,0
2016-2018,Otsego,Education,3,Some College,233,17.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Otsego,Education,4,AA Degree,132,9.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Otsego,Education,5,BA degree or higher,450,33.96,1,222.22,0,0,0,0,0,0,0,0,0,0,1,222.22,0,0
2016-2018,Otsego,Education,6,Unknown,2,0.15,1,50000,1,50000,0,0,0,0,1,50000,1,50000,1,50000,1,50000
2016-2018,Otsego,Race/Ethnicity,1,"White, Non-Hispanic","1,245",93.96,3,240.96,1,80.32,1,80.32,0,0,1,80.32,1,80.32,2,160.64,1,80.32
2016-2018,Otsego,Race/Ethnicity,2,"Black, Non-Hispanic",16,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Otsego,Race/Ethnicity,3,Hispanic,26,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Otsego,Race/Ethnicity,4,"Native American/Alaska Native, Non-Hispanic",1,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Otsego,Race/Ethnicity,5,"Asian/Pacific Islander, Non-Hispanic",29,2.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Otsego,Race/Ethnicity,6,"Other, Non-Hispanic",7,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Otsego,Race/Ethnicity,7,"Multi-Racial, Non-Hispanic",1,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Otsego,Total,1,Total,"1,325",100,3,226.42,1,75.47,1,75.47,0,0,1,75.47,1,75.47,2,150.94,1,75.47
2016-2018,Putnam,Age Group,1,<20,42,1.97,1,2380.95,0,0,0,0,0,0,1,2380.95,0,0,0,0,0,0
2016-2018,Putnam,Age Group,2,20-35,"1,584",74.44,5,315.66,0,0,0,0,0,0,2,126.26,0,0,3,189.39,0,0
2016-2018,Putnam,Age Group,3,>35,502,23.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Putnam,Education,1,Less than high school,214,10.06,1,467.29,0,0,0,0,0,0,1,467.29,0,0,0,0,0,0
2016-2018,Putnam,Education,2,High school graduate or GED,282,13.25,3,1063.83,0,0,0,0,0,0,1,354.61,0,0,2,709.22,0,0
2016-2018,Putnam,Education,3,Some College,323,15.18,1,309.6,0,0,0,0,0,0,0,0,0,0,1,309.6,0,0
2016-2018,Putnam,Education,4,AA Degree,172,8.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Putnam,Education,5,BA degree or higher,"1,109",52.11,1,90.17,0,0,0,0,0,0,1,90.17,0,0,0,0,0,0
2016-2018,Putnam,Race/Ethnicity,1,"White, Non-Hispanic","1,512",71.05,2,132.28,0,0,0,0,0,0,1,66.14,0,0,1,66.14,0,0
2016-2018,Putnam,Race/Ethnicity,2,"Black, Non-Hispanic",48,2.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Putnam,Race/Ethnicity,3,Hispanic,489,22.98,4,818,0,0,0,0,0,0,2,409,0,0,2,409,0,0
2016-2018,Putnam,Race/Ethnicity,4,"Native American/Alaska Native, Non-Hispanic",6,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Putnam,Race/Ethnicity,5,"Asian/Pacific Islander, Non-Hispanic",54,2.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Putnam,Race/Ethnicity,6,"Other, Non-Hispanic",15,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Putnam,Race/Ethnicity,7,"Multi-Racial, Non-Hispanic",4,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Putnam,Total,1,Total,"2,128",100,6,281.95,0,0,0,0,0,0,3,140.98,0,0,3,140.98,0,0
2016-2018,Queens,Age Group,1,<20,"3,227",3.89,16,495.82,3,92.97,6,185.93,2,61.98,7,216.92,0,0,3,92.97,1,30.99
2016-2018,Queens,Age Group,2,20-35,"63,424",76.45,205,323.22,31,48.88,57,89.87,13,20.5,80,126.14,12,18.92,71,111.95,7,11.04
2016-2018,Queens,Age Group,3,>35,"16,305",19.65,48,294.39,7,42.93,8,49.06,0,0,15,92,3,18.4,26,159.46,4,24.53
2016-2018,Queens,Education,1,Less than high school,"13,270",16,39,293.9,11,82.89,14,105.5,7,52.75,10,75.36,3,22.61,15,113.04,1,7.54
2016-2018,Queens,Education,2,High school graduate or GED,"16,432",19.81,74,450.34,11,66.94,22,133.89,4,24.34,23,139.97,3,18.26,30,182.57,4,24.34
2016-2018,Queens,Education,3,Some College,"13,146",15.85,42,319.49,4,30.43,10,76.07,1,7.61,15,114.1,2,15.21,18,136.92,1,7.61
2016-2018,Queens,Education,4,AA Degree,"6,391",7.7,22,344.23,4,62.59,6,93.88,0,0,11,172.12,2,31.29,5,78.24,2,31.29
2016-2018,Queens,Education,5,BA degree or higher,"31,373",37.82,84,267.75,10,31.87,18,57.37,3,9.56,35,111.56,4,12.75,32,102,4,12.75
2016-2018,Queens,Education,6,Unknown,142,0.17,1,704.23,0,0,0,0,0,0,1,704.23,0,0,0,0,0,0
2016-2018,Queens,Race/Ethnicity,1,"White, Non-Hispanic","18,015",21.72,46,255.34,3,16.65,13,72.16,2,11.1,15,83.26,0,0,18,99.92,1,5.55
2016-2018,Queens,Race/Ethnicity,2,"Black, Non-Hispanic","9,695",11.69,35,361.01,5,51.57,11,113.46,2,20.63,11,113.46,1,10.31,14,144.4,2,20.63
2016-2018,Queens,Race/Ethnicity,3,Hispanic,"24,349",29.35,95,390.16,20,82.14,29,119.1,8,32.86,36,147.85,7,28.75,33,135.53,6,24.64
2016-2018,Queens,Race/Ethnicity,4,"Native American/Alaska Native, Non-Hispanic",300,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Queens,Race/Ethnicity,5,"Asian/Pacific Islander, Non-Hispanic","28,935",34.88,91,314.5,13,44.93,17,58.75,3,10.37,39,134.78,7,24.19,35,120.96,3,10.37
2016-2018,Queens,Race/Ethnicity,6,"Other, Non-Hispanic","1,352",1.63,2,147.93,0,0,1,73.96,0,0,1,73.96,0,0,0,0,0,0
2016-2018,Queens,Race/Ethnicity,7,"Multi-Racial, Non-Hispanic",310,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Queens,Total,1,Total,"82,956",100,269,324.27,41,49.42,71,85.59,15,18.08,102,122.96,15,18.08,100,120.55,12,14.47
2016-2018,Rensselaer,Age Group,1,<20,263,6.05,2,760.46,0,0,0,0,0,0,0,0,0,0,2,760.46,0,0
2016-2018,Rensselaer,Age Group,2,20-35,"3,504",80.55,4,114.16,1,28.54,0,0,0,0,1,28.54,0,0,3,85.62,1,28.54
2016-2018,Rensselaer,Age Group,3,>35,583,13.4,1,171.53,1,171.53,1,171.53,1,171.53,0,0,0,0,0,0,0,0
2016-2018,Rensselaer,Education,1,Less than high school,475,10.92,2,421.05,0,0,0,0,0,0,0,0,0,0,2,421.05,0,0
2016-2018,Rensselaer,Education,2,High school graduate or GED,943,21.68,3,318.13,1,106.04,0,0,0,0,0,0,0,0,3,318.13,1,106.04
2016-2018,Rensselaer,Education,3,Some College,763,17.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Rensselaer,Education,4,AA Degree,543,12.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Rensselaer,Education,5,BA degree or higher,"1,485",34.14,1,67.34,0,0,0,0,0,0,1,67.34,0,0,0,0,0,0
2016-2018,Rensselaer,Education,6,Unknown,19,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Rensselaer,Race/Ethnicity,1,"White, Non-Hispanic","3,308",76.05,6,181.38,2,60.46,1,30.23,1,30.23,0,0,0,0,5,151.15,1,30.23
2016-2018,Rensselaer,Race/Ethnicity,2,"Black, Non-Hispanic",583,13.4,1,171.53,0,0,0,0,0,0,1,171.53,0,0,0,0,0,0
2016-2018,Rensselaer,Race/Ethnicity,3,Hispanic,226,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Rensselaer,Race/Ethnicity,4,"Native American/Alaska Native, Non-Hispanic",3,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Rensselaer,Race/Ethnicity,5,"Asian/Pacific Islander, Non-Hispanic",200,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Rensselaer,Race/Ethnicity,6,"Other, Non-Hispanic",30,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Rensselaer,Total,1,Total,"4,350",100,7,160.92,2,45.98,1,22.99,1,22.99,1,22.99,0,0,5,114.94,1,22.99
2016-2018,Richmond,Age Group,1,<20,631,4.17,5,792.39,1,158.48,2,316.96,0,0,0,0,0,0,3,475.44,1,158.48
2016-2018,Richmond,Age Group,2,20-35,"11,744",77.52,29,246.93,3,25.54,6,51.09,1,8.51,13,110.69,2,17.03,10,85.15,0,0
2016-2018,Richmond,Age Group,3,>35,"2,774",18.31,12,432.59,0,0,3,108.15,0,0,2,72.1,0,0,7,252.34,0,0
2016-2018,Richmond,Education,1,Less than high school,"1,754",11.58,8,456.1,0,0,3,171.04,0,0,1,57.01,0,0,4,228.05,0,0
2016-2018,Richmond,Education,2,High school graduate or GED,"2,775",18.32,12,432.43,1,36.04,3,108.11,0,0,7,252.25,1,36.04,2,72.07,0,0
2016-2018,Richmond,Education,3,Some College,"2,461",16.25,7,284.44,1,40.63,0,0,0,0,3,121.9,0,0,4,162.54,1,40.63
2016-2018,Richmond,Education,4,AA Degree,"1,192",7.87,3,251.68,0,0,1,83.89,0,0,0,0,0,0,2,167.79,0,0
2016-2018,Richmond,Education,5,BA degree or higher,"6,357",41.96,14,220.23,1,15.73,4,62.92,1,15.73,2,31.46,0,0,8,125.85,0,0
2016-2018,Richmond,Education,6,Unknown,27,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Richmond,Race/Ethnicity,1,"White, Non-Hispanic","8,588",56.69,23,267.82,2,23.29,5,58.22,0,0,7,81.51,2,23.29,11,128.09,0,0
2016-2018,Richmond,Race/Ethnicity,2,"Black, Non-Hispanic","1,931",12.75,8,414.29,0,0,2,103.57,0,0,3,155.36,0,0,3,155.36,0,0
2016-2018,Richmond,Race/Ethnicity,3,Hispanic,"3,003",19.82,11,366.3,2,66.6,2,66.6,1,33.3,4,133.2,0,0,5,166.5,1,33.3
2016-2018,Richmond,Race/Ethnicity,4,"Native American/Alaska Native, Non-Hispanic",50,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Richmond,Race/Ethnicity,5,"Asian/Pacific Islander, Non-Hispanic","1,327",8.76,4,301.43,0,0,2,150.72,0,0,1,75.36,0,0,1,75.36,0,0
2016-2018,Richmond,Race/Ethnicity,6,"Other, Non-Hispanic",217,1.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Richmond,Race/Ethnicity,7,"Multi-Racial, Non-Hispanic",33,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Richmond,Total,1,Total,"15,149",100,46,303.65,4,26.4,11,72.61,1,6.6,15,99.02,2,13.2,20,132.02,1,6.6
2016-2018,Rockland,Age Group,1,<20,914,6.6,5,547.05,1,109.41,2,218.82,1,109.41,1,109.41,0,0,2,218.82,0,0
2016-2018,Rockland,Age Group,2,20-35,"10,340",74.67,23,222.44,3,29.01,7,67.7,1,9.67,7,67.7,0,0,10,96.71,2,19.34
2016-2018,Rockland,Age Group,3,>35,"2,594",18.73,9,346.95,0,0,5,192.75,0,0,2,77.1,0,0,2,77.1,0,0
2016-2018,Rockland,Education,1,Less than high school,"2,471",17.84,8,323.76,3,121.41,3,121.41,2,80.94,1,40.47,0,0,4,161.88,1,40.47
2016-2018,Rockland,Education,2,High school graduate or GED,"5,839",42.16,9,154.14,0,0,3,51.38,0,0,3,51.38,0,0,3,51.38,0,0
2016-2018,Rockland,Education,3,Some College,"1,210",8.74,5,413.22,0,0,1,82.64,0,0,3,247.93,0,0,1,82.64,0,0
2016-2018,Rockland,Education,4,AA Degree,459,3.31,4,871.46,0,0,2,435.73,0,0,0,0,0,0,2,435.73,0,0
2016-2018,Rockland,Education,5,BA degree or higher,"2,480",17.91,9,362.9,1,40.32,3,120.97,0,0,3,120.97,0,0,4,161.29,1,40.32
2016-2018,Rockland,Education,6,Unknown,29,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Rockland,Race/Ethnicity,1,"White, Non-Hispanic","9,201",66.44,15,163.03,1,10.87,2,21.74,0,0,6,65.21,0,0,8,86.95,1,10.87
2016-2018,Rockland,Race/Ethnicity,2,"Black, Non-Hispanic","1,082",7.81,9,831.79,0,0,3,277.26,0,0,3,277.26,0,0,3,277.26,0,0
2016-2018,Rockland,Race/Ethnicity,3,Hispanic,"2,969",21.44,12,404.18,3,101.04,8,269.45,2,67.36,1,33.68,0,0,3,101.04,1,33.68
2016-2018,Rockland,Race/Ethnicity,4,"Native American/Alaska Native, Non-Hispanic",14,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Rockland,Race/Ethnicity,5,"Asian/Pacific Islander, Non-Hispanic",384,2.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Rockland,Race/Ethnicity,6,"Other, Non-Hispanic",136,0.98,1,735.29,0,0,1,735.29,0,0,0,0,0,0,0,0,0,0
2016-2018,Rockland,Race/Ethnicity,7,"Multi-Racial, Non-Hispanic",62,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
